      হকশেল অমসুং য়াইফ-য়ুম্বাল মন্ত্রালয়

      রিভাইস তৌবা নেস্নেল ত্যুবরক্যুলোসিস কন্ত্রোল প্রোগ্রাম
      Posted On: 15 SEP 2020 3:04PM by PIB Imphal


    লৈবাক শিনবা থুংনা ব্লোক ১৩৬০দা হৌজিক্কী ওইনা রেপিদ মোলিক্যুলর দাইগনোস্তিক লৈরি। রাজ্য-রাজ্যগী ওইনা রেপিদ মোলিক্যুলর দাইগনোস্তিককী লৈরিবা ব্লোকশিংগী মশিং:

                                                                        
রাজ্য-রাজ্যগী ওইনা রেপিদ মোলিক্যুলর দাইগনোস্তিককী লৈরিবা ব্লোকশিংগী মশিং
                                                                        
                                                                        
                                                                                                                                                    
সিরিএল নম্বর                                                              রাজ্য                         রেপিদ মোলিক্যুলর দাইগনোস্তিক লৈবা ব্লোক মশিং
তামিল নাদু                                                                                      ৭৬%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
তেলঙ্গনা                                                                                        ৭৯%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
ত্রিপুরা                                                                                        ৮৩%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
উত্তর প্রদেশ                                                                                    ৫৪%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
উত্তরাখন্দ                                                                                      ৪৪%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
ৱেস্ত বেঙ্গল                                                                                    ৭১%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     
ভারত পুম্বা                                                                                     ৬২%                                                                                                                  
                                                                                                                                                                                                                     
                                                                                                                                                                                                                     

    ২০১৬দা নোতিফাই তৌখিবা অপুনবা তি.বি. কেসশিংগী মশিং:

                                                                          
চহি                      নোতিফাই তৌখ্রবা অপুনবা তি.বি. নাবা মীওইশিংগী মশিং
                                                                          
                                                                          
                                                                          
২০১৬                     ১৭৫৪৯৫৭                                          
                                                                          
                                                                          
                                                                          
২০১৭                     ১৮২৭৯৫৯                                          
                                                                          
                                                                          
                                                                          
২০১৮                     ২১৫৫৮৯৪                                          
                                                                          
                                                                          
                                                                          
২০১৯                     ২৪০৪৮১৫                                          
                                                                          
                                                                          
                                                                          
২০২০ (জুলাই ২০২০ ফাওবা)  ১০৬১০০৩                                          
                                                                          
                                                                          

    রাজ্য-রাজ্যগী ওইনা নোতিফাই তৌখ্রবা তি.বি. কেসশিংগী অকুপ্পা ৱারোল মখাদা পীরি:


    রাজ্য-রাজ্যগী ওইনা নোতিফাই তৌখ্রবা তি.বি. কেসশিং

                                                                                                                                        
রাজ্য                         ২০১৬       ২০১৭       ২০১৮       ২০১৯         রাজ্য                                         জেন-জুলাই ২০২০
                                                                                                                                        
                                                                                                                                        
                              (জেন-দিস)  (জেন-দিস)  (জেন-দিস)  (জেন-দিস)                                                                
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
অন্দমান অমসুং নিকোবার ইথৎশিং  ৫৩৪        ২৯২        ৫৫৮        ৫৮৭          অন্দমান অমসুং নিকোবার ইথৎশিং                  ২৯৭           
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
আন্ধ্র প্রদেশ                 ৭৪৩৭৩      ৮৩১১৮      ৯১১২৪      ৯৮৮৬৯        আন্ধ্র প্রদেশ                                 ৩৭৫৭০         
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
অরুনাচল প্রদেশ                ২৭৮৮       ৩১৫৪       ৩৪১৯       ২৯৩৮         অরুনাচল প্রদেশ                                ১৫৬৬          
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
অসাম                          ৪০৮৫১      ৪০১৭৪      ৪২৮৯৬      ৪৮৬৬৯        অসাম                                          ২১১৯১         
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
বিহার                         ৯৭০০১      ৯৬৪৮৯      ১০৪৯৩০     ১২২৬৭১       বিহার                                         ৫১৪৯৩         
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
চন্দিগর                       ৩৪১৩       ৫৯৩০       ৫৬৯৬       ৭০২৬         চন্দিগর                                       ২৮১৬          
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
ছত্তিশগর                      ৩৯৪৮৪      ৪১২৭২      ৪৩০৩১      ৪৩৭১৮        ছত্তিশগর                                      ২০০৭৭         
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
দাদ্রা অমসুং নগর হভেলী        ৫৫২        ৯৬৩        ৮৪৯        ৯৩৭          দাদ্রা অমসুং নগর হভেলী অমসুং দামন অমসুং দ্যু  ৬৬৩           
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
দামন অমসুং দ্যু               ৪৮৭        ৪৫৭        ৪৯৭        ৫৬০          দিল্লী                                        ৫১৪৬৫         
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
দিল্লী                        ৬২৭০৬      ৬৫৮৯৩      ৯৩৫৮০      ১০৭৯৮২       গোৱা                                          ১০২২          
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
গোৱা                          ১৯৬৬       ১৯৩৫       ২৪৯২       ২৪১০         গুজরাত                                        ৭৩৪৪৫         
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
গুজরাত                        ১২৬৬৬৫     ১৪৯০৬১     ১৫৪৫৫১     ১৫৯১৫৮       হরিয়ানা                                       ৩৮৮১১         
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
হরিয়ানা                       ৪৭৫৪৫      ৪০৭৫১      ৬৫৭৪৮      ৭৩৯৯৭        হিমাচল প্রদেশ                                 ৮৬৭৩          
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
হিমাচল প্রদেশ                 ১৪৯৬১      ১৬৪৫১      ১৬৪৮৫      ১৭৪৪৬        জম্মু অমসুং কাশ্মীর                           ৫৪৫৭          
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
জম্মু অমসুং কাশ্মীর           ৯৯৩৭       ১০৪৭৬      ১২৮৯৫      ১১৮৬০        ঝারখন্দ                                       ২৬০২৫         
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
ঝারখন্দ                       ৩৯৫১৫      ৪৪১২৮      ৪৮৪৮৮      ৫৬৬৩২        কর্নাতকা                                      ৩৯৯৪৯         
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
কর্নাতকা                      ৬৮৪৬২      ৮১১৮৭      ৮৩০৯৪      ৯১৭০৩        কেরেলা                                        ১২৬৮০         
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
কেরেলা                        ৪৭২৯৩      ২২৭৫৪      ২৪৫৫৭      ২৫৬১৭        লদাখ                                          ১৬১           
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
লক্ষদ্বীপ                     ২৩         ৪৬         ১৯         ১৫           লক্ষদ্বীপ                                     ৮             
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
মধ্য প্রদেশ                   ১২৯৯১৫     ১৩৪৩৩৩     ১৬০১৪৪     ১৮৭৪০৭       মধ্য প্রদেশ                                   ৮০৭৭৯         
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
মহারাস্ত্র                    ১৯৫১৩৯     ১৯২৪৫৮     ২০৯৬৪২     ২২৭৩৪৮       মহারাস্ত্র                                    ৮৯৪৮৪         
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
মনিপুর                        ২৩৯৩       ২৮০৫       ২৯২৭       ২৫৫৩         মনিপুর                                        ১০২০          
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
মেঘালয়                        ৪৫৮৬       ৩৯৬১       ৪৮৬৭       ৫৫২৮         মেঘালয়                                        ২৬৬১          
                                                                                                                                        
                                                                                                                                        
                                                                                                                                        
