      হকশেল অমসুং য়াইফ-য়ুম্বাল মন্ত্রালয়

      কোবিদ-১৯না শোকহল্লবা মীওইশিং
      Posted On: 18 SEP 2020 4:30PM by PIB Imphal


    কোবিদ-১৯না নাখিবা, নাবা ফখিবা অমসুং শিবগী অপুনবা মশিং অসি মখাদা পীরিঃ


    রাজ্য/য়ু.তি.শিংগী ওইবা অপুনবা কোবিদ-১৯গী কেস, এক্তিব কেস, নাবা ফরবা কেস অমসুং শিখিবশিং (১৬/৯/২০২০ ফাওবা)-

                                                                                                                                        
মথং-মনাও  রাজ্য/য়ু.তি.                       অপুনবা কেস মশিং  এক্তিব কেস  অপুনবা নাবা ফরবা/দিসচার্জ তৌরবা/মাইগ্রেৎ তৌরবা  অপুনবা লৈখিদবা
    হকশেল অমসুং য়াইফ য়ুম্বাল মন্ত্রালয়না তোঙান তোঙানবা জিলাশিংদা লৈবা ফমুং অহাঙবগী হীরমশিংসু য়েংশিল্লি। গ্রোথ রেৎ ত্রাজেক্তরীদা য়ুম্ফম ওইদুনা রাজ্যশিংদা কেসশিং নীংথিনা শেন্নবা ঙম্নবা মখোয়গী তৌবা ঙম্বশিং হেনগৎহন্নবা হায়দুনা চিথি অমসুং ভিদিও কনফরেন্সিংগী খুত্থাংদা মখোয়গী তঙাই ফদবশিং হায়রক্নবসু খঙহনখ্রবনি।


    খুন্নাইগী মীওই খুদিংদা শোকহল্লিবা কোবিদ লায়চৎ অসিগী চৈথেং হন্থহনবা ঙম্নবা হায়দুনা সরকারনা খোঙথাং কয়া অমা পায়খৎখ্রবনি। ভারতনা অমত্তা ওইবা সরকার অমসুং অমত্তা ওইবা খুন্নাইগী থৌওংগী মখা পোন্না থবক পায়খৎলি। প্রধান মন্ত্রী, মন্ত্রীশিংগী অ ৱাংবা থাক্কী কাঙলুপ অমা (জি.ও.এম.), কেবিনেৎ সেক্রেতরীশিং, সেক্রেতরীশিংগী কম্মিত্তীশিং অমসুং এম.ও.ঐচ.এফ.দবল্যু.গী সেনিয়র ওফিসারশিংনা লৈবাক অসিগী কোবিদ-১৯ থেংনবগী থবক য়েংশিন্দুনা হৌজিক ফাওবা লাক্লি।


    মীয়ামগী ওইবা হকশেলগী থৌওংশিং হৌজিক ওইরিবা ফিভমশিং অসিদা য়ুম্ফম ওইদুনা হকথেংনবা, থাক খায়বগী থৌওং শিজিন্নদুনা পাঙথোক্লি। ইন্তর্নেস্নেলগী পেসেঞ্জরশিংগী চত্থোক চৎশিন তৌবদা য়েংশিন্নবা হায়দুনা মরী লৈনবা কাঙলোন কয়া অমা ফোঙখ্রে অমসুং মসিগী মনুংদা ফ্লাইৎ পায়বশিং অসি মার্চ ২৩, ২০২০দগী লেপহনখি। মসিদগী হৌনা এয়রপোর্তশিংদা অপুনবা ফ্লাইৎ ১৪,১৫৪ অমসুং মসিগী পেসেঞ্জর ১৫,২৪,২৬৬ অসিসু স্ক্রীন তৌখি। লমগী ঙমখৈশিং অমসুং মরু ওইবা হিথাংফম ১২ অমসুং অপিকপা হিথাংফম ৬৫দসু স্ক্রীনিং তৌবগী থৌওংশিং পাঙথোকখি। লায়চৎ অসিনা হৌরকপা কুইদ্রিঙৈদা ভারতনা কোবিদনা শোকহল্লবা লৈবাকশিংদা (চাইনা, ইতালী, ইরান, জাপা অমসুং মলেসিয়া) পন্দুনা লৈরবা ভারত মচাশিং য়ুমদা পুরকখি অমসুং লোকদাউন হাঙদোক্লপা মতমদসু সেপ্তেম্বর ১৪, ২০২০ ফাওবগী মনুংদা অপুনবা পেসেঞ্জর ১৩,১৮,৮৯১ পুশিল্লকখি অমসুং মখা তানা পাউ ফাওবগী থবক চত্থরি।


    ইন্তিগ্রেতেদ দিজিজ সর্বেলিএন্স প্রোগ্রাম (আই.দি.এস.পি.) অসিনা কম্ম্যুনিতী সর্বেলিএন্সকী খুত্থাংদা কন্তেক্ত ত্রেসিং তৌবগী থবক চত্থরি। লায়চৎ অসিনা হৌরকপগী মতমদা হায়রিবা থৌওং অসি অতোপ্পা লৈবাক্তা চৎলুবা নত্ত্রগা চত্থোক চৎশিন তৌবা মীওই খক্তগী ওইনা পাঙথোক্লম্মি অদুবু লায়চৎ শন্দোরকপগী মতুং ইন্না খুন্নাইগী থাক্তসু লায়না অসিবু লাকশিনবা ঙম্নবা হায়দুনা পাঙথোকপা হৌখি। সেপ্তেম্বর ১৪, ২০২০ ফাওবগী মনুংদা চাউরাক্না মীওই লাখ ৪০মুক সর্বেলিএন্স তৌদুনা থমখি। হৌজিক হৌজিক কোবিদ-১৯ তেস্ত তৌনবা অপুনবা লেবোরেতরী ৭২৬ লৈ। ভারতনা নোঙমদা সেম্পল মিলিয়ন অমা তেস্ত তৌরি। হৌজিক ফাওবদা (সেপ্তেম্বর ১৪৭, ২০২০) ফাওবদা অপুনবা তেস্ত করোর ৫.৮ তেস্ত তৌখ্রে।


    রাজ্যশিংদসু লোজিস্তিক্কী মতাংদা তেংবাংলি। হৌজিক ফাওবদা সেপ্তেম্বর ১৪, ২০২০) পি.পি.ই. কিৎস করোর ১.৪১,এন.-৯৫ মাস্ক করোর ৩.৪৪, হাইদ্রোক্সীক্লোরোকেইন গুলি করোর ১০.৮৪, বেন্তিলেতর ৩০,৬৬৩ অমসুং ওক্সিজেন সিলিন্দর ১,০২,৪০০ অসি রাজ্য/য়ু.তি./কেন্দ্র সরকারগী হোস্পিতালশিংদা য়েন্থোকখ্রে।


    কোবিদকা মরী লৈনবা থবক থৌরমশিংগী অমসুং অতোপ্পা তঙাই ফদবা মেদিকেলগী সেবাশিংগী মতাংদা ওইনা থৌমী অমসুং বলন্তিয়র কয়া অমা সেক্তর অমসুং বিভাগ কয়াদগী খনগৎপগা লোয়ননা এম.ও.ঐচ.এফ.দবল্যু.গী দি.ও.পি.তি.গী আই.জি.ও.তি., (ওনলাইন প্লেৎফোর্ম)গী ৱেবসাইত্তা ( https://igot.gov.in/igot/ ) ফংবা রিসোর্সশিংগী খুত্থাংদা ত্রেনিং পীবগী থৌওং চত্থখি।


